created_at,id,id_str,full_text,source,retweet_count,favorite_count,time,year
2017-08-01 16:23:56+00:00,892420643555336193,892420643555336192,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Twitter for iPhone,8853,39467,2017-Aug,2017
2017-08-01 00:17:27+00:00,892177421306343426,892177421306343424,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Twitter for iPhone,6514,33819,2017-Aug,2017
2017-07-31 00:18:03+00:00,891815181378084864,891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Twitter for iPhone,4328,25461,2017-Jul,2017
2017-07-30 15:58:51+00:00,891689557279858688,891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Twitter for iPhone,8964,42908,2017-Jul,2017
2017-07-29 16:00:24+00:00,891327558926688256,891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Twitter for iPhone,9774,41048,2017-Jul,2017
2017-07-29 00:08:17+00:00,891087950875897856,891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,Twitter for iPhone,3261,20562,2017-Jul,2017
2017-07-28 16:27:12+00:00,890971913173991426,890971913173991424,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Twitter for iPhone,2158,12041,2017-Jul,2017
2017-07-28 00:22:40+00:00,890729181411237888,890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,Twitter for iPhone,16716,56848,2017-Jul,2017
2017-07-27 16:25:51+00:00,890609185150312448,890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Twitter for iPhone,4429,28226,2017-Jul,2017
2017-07-26 15:59:51+00:00,890240255349198849,890240255349198848,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Twitter for iPhone,7711,32467,2017-Jul,2017
2017-07-26 00:31:25+00:00,890006608113172480,890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Twitter for iPhone,7624,31166,2017-Jul,2017
2017-07-25 16:11:53+00:00,889880896479866881,889880896479866880,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Twitter for iPhone,5156,28268,2017-Jul,2017
2017-07-25 01:55:32+00:00,889665388333682689,889665388333682688,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,Twitter for iPhone,8538,38818,2017-Jul,2017
2017-07-25 00:10:02+00:00,889638837579907072,889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Twitter for iPhone,4735,27672,2017-Jul,2017
2017-07-24 17:02:04+00:00,889531135344209921,889531135344209920,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Twitter for iPhone,2321,15359,2017-Jul,2017
2017-07-24 00:19:32+00:00,889278841981685760,889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Twitter for iPhone,5637,25652,2017-Jul,2017
2017-07-23 00:22:39+00:00,888917238123831296,888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Twitter for iPhone,4709,29611,2017-Jul,2017
2017-07-22 16:56:37+00:00,888804989199671297,888804989199671296,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Twitter for iPhone,4559,26080,2017-Jul,2017
2017-07-22 00:23:06+00:00,888554962724278272,888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Twitter for iPhone,3732,20290,2017-Jul,2017
2017-07-20 16:49:33+00:00,888078434458587136,888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Twitter for iPhone,3653,22201,2017-Jul,2017
2017-07-19 16:06:48+00:00,887705289381826560,887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,Twitter for iPhone,5609,30779,2017-Jul,2017
2017-07-19 03:39:09+00:00,887517139158093824,887517139158093824,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,Twitter for iPhone,12082,46959,2017-Jul,2017
2017-07-19 00:47:34+00:00,887473957103951883,887473957103951872,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Twitter for iPhone,18781,69871,2017-Jul,2017
2017-07-18 16:08:03+00:00,887343217045368832,887343217045368832,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,Twitter for iPhone,10737,34222,2017-Jul,2017
2017-07-18 00:07:08+00:00,887101392804085760,887101392804085760,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,Twitter for iPhone,6167,31061,2017-Jul,2017
2017-07-17 16:17:36+00:00,886983233522544640,886983233522544640,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Twitter for iPhone,8084,35859,2017-Jul,2017
2017-07-16 23:58:41+00:00,886736880519319552,886736880519319552,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",Twitter for iPhone,3443,12306,2017-Jul,2017
2017-07-16 20:14:00+00:00,886680336477933568,886680336477933568,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Twitter for iPhone,4610,22798,2017-Jul,2017
2017-07-15 23:25:31+00:00,886366144734445568,886366144734445568,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Twitter for iPhone,3316,21524,2017-Jul,2017
2017-07-15 16:51:35+00:00,886267009285017600,886267009285017600,@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would pet with extreme caution,Twitter for iPhone,4,117,2017-Jul,2017
2017-07-15 16:17:19+00:00,886258384151887873,886258384151887872,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,Twitter for iPhone,6523,28469,2017-Jul,2017
2017-07-14 22:10:11+00:00,885984800019947520,885984800019947520,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,Twitter for iPhone,7097,33382,2017-Jul,2017
2017-07-13 15:58:47+00:00,885528943205470208,885528943205470208,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Twitter for iPhone,6683,36689,2017-Jul,2017
2017-07-13 15:19:09+00:00,885518971528720385,885518971528720384,I have a new hero and his name is Howard. 14/10 https://t.co/gzLHboL7Sk,Twitter for iPhone,3899,20788,2017-Jul,2017
2017-07-12 16:03:00+00:00,885167619883638784,885167619883638784,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,Twitter for iPhone,4556,22367,2017-Jul,2017
2017-07-12 00:01:00+00:00,884925521741709313,884925521741709312,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",Twitter for iPhone,16439,68152,2017-Jul,2017
2017-07-11 20:47:12+00:00,884876753390489601,884876753390489600,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,Twitter for iPhone,6096,28514,2017-Jul,2017
2017-07-11 00:00:02+00:00,884562892145688576,884562892145688576,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,Twitter for iPhone,5100,24765,2017-Jul,2017
2017-07-10 15:58:53+00:00,884441805382717440,884441805382717440,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",Twitter for iPhone,5856,27478,2017-Jul,2017
2017-07-10 03:08:17+00:00,884247878851493888,884247878851493888,OMG HE DIDN'T MEAN TO HE WAS JUST TRYING A LITTLE BARKOUR HE'S SUPER SORRY 13/10 WOULD FORGIVE IMMEDIATE https://t.co/uF3pQ8Wubj,Twitter for iPhone,21298,74423,2017-Jul,2017
2017-07-09 21:29:42+00:00,884162670584377345,884162670584377344,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,Twitter for iPhone,3128,20771,2017-Jul,2017
